user,btag,clk,cate_id,campaign_id,customer,price,final_gender_code,age_level,pvalue_level,shopping_level,occupation,new_user_class_level ,buyer_type
498560,not,0,1665,1,13787,122.5,1.0,3.0,,3.0,0.0,2.0,2
679443,not,0,1665,1,13787,137.0,2.0,3.0,1.0,3.0,0.0,3.0,2
679443,not,0,1665,1,13787,122.5,2.0,3.0,1.0,3.0,0.0,3.0,2
885128,not,0,6261,1,13787,119.0,2.0,3.0,,3.0,0.0,1.0,2
189275,not,0,1665,1,13787,137.0,2.0,3.0,,3.0,0.0,,2
884974,not,0,1665,1,13787,137.0,,,,,,,2
884974,not,0,1665,1,13787,122.5,,,,,,,2
884974,not,0,4282,1,13787,124.0,,,,,,,2
251855,not,1,6261,1,13787,136.25,2.0,4.0,2.0,3.0,0.0,2.0,2
13834,not,0,1665,1,13787,122.5,2.0,3.0,,3.0,0.0,2.0,2
227559,not,0,4520,1,13787,74.99,,,,,,,2
340234,not,0,1665,1,13787,137.0,2.0,3.0,1.0,3.0,0.0,2.0,2
845966,not,0,1665,1,13787,122.5,2.0,4.0,,3.0,0.0,2.0,2
845966,not,0,6261,1,13787,124.0,2.0,4.0,,3.0,0.0,2.0,2
845966,not,0,6261,1,13787,136.25,2.0,4.0,,3.0,0.0,2.0,2
845966,not,0,1665,1,13787,137.0,2.0,4.0,,3.0,0.0,2.0,2
845966,not,0,6261,1,13787,119.0,2.0,4.0,,3.0,0.0,2.0,2
192383,not,0,6261,1,13787,136.25,1.0,4.0,2.0,2.0,0.0,2.0,2
554593,buy,0,1665,1,13787,162.0,2.0,3.0,,3.0,0.0,,0
554593,buy,0,1665,1,13787,137.0,2.0,3.0,,3.0,0.0,,0
986318,not,0,6261,1,13787,119.0,2.0,2.0,2.0,3.0,0.0,2.0,2
257661,not,0,6261,1,13787,136.25,2.0,3.0,,3.0,0.0,2.0,2
257661,not,0,6261,1,13787,137.0,2.0,3.0,,3.0,0.0,2.0,2
970118,not,0,6261,1,13787,124.0,2.0,2.0,1.0,3.0,0.0,3.0,2
970118,not,0,1665,1,13787,122.5,2.0,2.0,1.0,3.0,0.0,3.0,2
970118,not,0,6261,1,13787,136.25,2.0,2.0,1.0,3.0,0.0,3.0,2
970118,not,0,6261,1,13787,99.0,2.0,2.0,1.0,3.0,0.0,3.0,2
944354,not,0,1665,1,13787,137.0,2.0,3.0,,3.0,0.0,,2
944354,not,0,6261,1,13787,137.0,2.0,3.0,,3.0,0.0,,2
205581,not,1,1665,1,13787,137.0,2.0,3.0,2.0,3.0,0.0,4.0,2
857649,not,1,1665,1,13787,122.5,2.0,3.0,1.0,3.0,0.0,2.0,2
93606,not,0,6261,1,13787,119.0,2.0,1.0,,3.0,0.0,2.0,2
968681,not,0,6261,1,13787,124.0,2.0,3.0,,3.0,0.0,3.0,2
460398,not,0,4281,1,13787,69.0,2.0,3.0,2.0,3.0,0.0,1.0,2
769916,buy,0,6261,1,13787,136.25,2.0,3.0,1.0,3.0,0.0,4.0,0
769916,buy,0,6261,1,13787,124.0,2.0,3.0,1.0,3.0,0.0,4.0,0
541753,not,0,6261,1,13787,124.0,2.0,3.0,,3.0,0.0,,2
541753,not,0,6261,1,13787,119.0,2.0,3.0,,3.0,0.0,,2
17220,not,0,4520,1,13787,87.0,2.0,3.0,2.0,3.0,0.0,4.0,2
967261,not,0,1665,1,13787,122.5,2.0,2.0,,3.0,0.0,2.0,2
836699,not,0,1665,1,13787,122.5,1.0,4.0,,3.0,0.0,3.0,2
836699,not,0,1665,1,13787,137.0,1.0,4.0,,3.0,0.0,3.0,2
553098,not,0,6261,1,13787,99.0,2.0,4.0,2.0,3.0,0.0,4.0,2
553098,not,0,6261,1,13787,124.0,2.0,4.0,2.0,3.0,0.0,4.0,2
1094107,not,0,1665,1,13787,137.0,1.0,4.0,,3.0,0.0,2.0,2
95735,not,0,6261,1,13787,124.0,2.0,3.0,2.0,3.0,0.0,2.0,2
163701,not,0,1665,1,13787,137.0,2.0,4.0,1.0,3.0,0.0,,2
72910,buy,0,6261,1,13787,137.0,2.0,3.0,,3.0,0.0,,0
580642,not,0,1665,1,13787,137.0,2.0,2.0,1.0,3.0,0.0,3.0,2
580642,not,0,1665,1,13787,122.5,2.0,2.0,1.0,3.0,0.0,3.0,2
580642,not,0,4520,1,13787,87.0,2.0,2.0,1.0,3.0,0.0,3.0,2
1006544,not,0,6261,1,13787,124.0,2.0,3.0,2.0,3.0,0.0,3.0,2
290766,not,0,4281,1,13787,69.0,2.0,3.0,,3.0,1.0,1.0,2
200226,not,0,4281,1,13787,69.0,2.0,3.0,,3.0,0.0,3.0,2
200226,not,1,4520,1,13787,74.99,2.0,3.0,,3.0,0.0,3.0,2
200226,not,0,4282,1,13787,124.0,2.0,3.0,,3.0,0.0,3.0,2
417312,not,0,6261,1,13787,124.0,2.0,2.0,,3.0,0.0,,2
417312,not,0,4281,1,13787,69.0,2.0,2.0,,3.0,0.0,,2
417312,not,0,6261,1,13787,136.25,2.0,2.0,,3.0,0.0,,2
417312,not,0,6261,1,13787,137.0,2.0,2.0,,3.0,0.0,,2
417312,not,0,6261,1,13787,99.0,2.0,2.0,,3.0,0.0,,2
417312,not,0,6261,1,13787,119.0,2.0,2.0,,3.0,0.0,,2
970595,not,0,1665,1,13787,122.5,2.0,2.0,,3.0,0.0,2.0,2
970595,not,0,4282,1,13787,124.0,2.0,2.0,,3.0,0.0,2.0,2
325556,not,0,6261,1,13787,137.0,2.0,3.0,1.0,3.0,0.0,4.0,2
325556,not,0,6261,1,13787,119.0,2.0,3.0,1.0,3.0,0.0,4.0,2
1041928,not,0,6261,1,13787,124.0,2.0,4.0,,3.0,0.0,3.0,2
776053,not,0,6261,1,13787,124.0,2.0,3.0,2.0,3.0,0.0,2.0,2
776053,not,0,6261,1,13787,136.25,2.0,3.0,2.0,3.0,0.0,2.0,2
547653,not,0,6261,1,13787,136.25,1.0,4.0,,3.0,0.0,4.0,2
366347,not,0,6261,1,13787,124.0,2.0,2.0,,3.0,0.0,4.0,2
366347,not,0,6261,1,13787,119.0,2.0,2.0,,3.0,0.0,4.0,2
769387,not,0,4520,1,13787,87.0,1.0,3.0,,3.0,0.0,2.0,2
412299,not,0,1665,1,13787,122.5,2.0,3.0,,3.0,0.0,3.0,2
412299,not,1,6261,1,13787,124.0,2.0,3.0,,3.0,0.0,3.0,2
114942,not,0,1665,1,13787,122.5,2.0,2.0,,3.0,0.0,,2
253009,not,0,1665,1,13787,137.0,1.0,3.0,,3.0,0.0,3.0,2
43883,not,0,1665,1,13787,122.5,2.0,4.0,2.0,3.0,0.0,2.0,2
1122727,not,1,1665,1,13787,137.0,2.0,2.0,2.0,3.0,0.0,3.0,2
1122727,not,0,1665,1,13787,122.5,2.0,2.0,2.0,3.0,0.0,3.0,2
1122727,not,0,4282,1,13787,124.0,2.0,2.0,2.0,3.0,0.0,3.0,2
1096460,not,0,1665,1,13787,137.0,2.0,3.0,,3.0,0.0,4.0,2
1096460,not,1,1665,1,13787,122.5,2.0,3.0,,3.0,0.0,4.0,2
321652,not,0,1665,1,13787,137.0,2.0,4.0,2.0,3.0,0.0,1.0,2
321652,not,0,6261,1,13787,99.0,2.0,4.0,2.0,3.0,0.0,1.0,2
661302,not,0,6261,1,13787,136.25,2.0,4.0,,3.0,0.0,3.0,2
699225,not,0,6261,1,13787,136.25,2.0,2.0,,3.0,0.0,3.0,2
682327,not,0,1665,1,13787,137.0,2.0,2.0,,3.0,0.0,2.0,2
682327,not,0,1665,1,13787,122.5,2.0,2.0,,3.0,0.0,2.0,2
578559,not,0,1665,1,13787,137.0,2.0,3.0,,3.0,0.0,3.0,2
578559,not,1,1665,1,13787,122.5,2.0,3.0,,3.0,0.0,3.0,2
578559,not,0,1665,1,13787,122.5,2.0,3.0,,3.0,0.0,3.0,2
578559,not,0,6261,1,13787,136.25,2.0,3.0,,3.0,0.0,3.0,2
1064998,not,0,6261,1,13787,137.0,2.0,3.0,2.0,3.0,0.0,3.0,2
249693,buy,0,1665,1,13787,122.5,1.0,3.0,2.0,3.0,0.0,3.0,0
1073667,not,0,1665,1,13787,137.0,2.0,4.0,,3.0,0.0,,2
473460,not,0,1665,1,13787,122.5,1.0,3.0,,3.0,0.0,4.0,2
473460,not,0,4281,1,13787,112.0,1.0,3.0,,3.0,0.0,4.0,2
886081,not,0,6261,1,13787,124.0,2.0,4.0,,2.0,0.0,,2
217830,not,0,4520,1,13787,87.0,2.0,3.0,2.0,3.0,0.0,2.0,2
988718,not,1,6261,1,13787,136.25,2.0,4.0,1.0,3.0,0.0,2.0,2
988718,not,0,6261,1,13787,136.25,2.0,4.0,1.0,3.0,0.0,2.0,2
64630,not,0,1665,1,13787,122.5,2.0,3.0,1.0,3.0,0.0,3.0,2
64630,not,0,6261,1,13787,136.25,2.0,3.0,1.0,3.0,0.0,3.0,2
64630,not,0,6261,1,13787,99.0,2.0,3.0,1.0,3.0,0.0,3.0,2
64630,not,0,6261,1,13787,124.0,2.0,3.0,1.0,3.0,0.0,3.0,2
198698,not,0,6261,1,13787,124.0,2.0,3.0,,3.0,0.0,2.0,2
813061,not,0,1665,1,13787,137.0,2.0,3.0,2.0,3.0,0.0,2.0,2
173219,not,0,4282,1,13787,124.0,2.0,3.0,2.0,3.0,0.0,,2
948218,not,1,4281,1,13787,112.0,2.0,4.0,,1.0,0.0,,2
